Team,Conf,NetRtg,ORtg,DRtg,AdjT,Luck,NC_NetRtg,SOS_NetRtg,SOS_ORtg,SOS_DRtg
Duke,ACC,38.90,128.0,89.1,65.3,0.049,10.07,14.29,117.0,102.7
Arizona,B12,37.66,127.7,90.0,69.8,0.023,3.25,14.97,117.6,102.7
Michigan,B10,37.59,126.6,89.0,70.9,0.045,12.49,16.65,119.1,102.5
Florida,SEC,33.79,125.5,91.7,70.5,-0.036,7.96,16.01,119.4,103.4
Houston,B12,33.43,124.9,91.4,63.3,-0.006,0.87,13.58,116.9,103.3
Iowa State,B12,32.42,123.8,91.4,66.5,-0.012,-3.57,12.44,115.6,103.1
Illinois,B10,32.10,131.2,99.1,65.5,-0.050,3.76,13.64,117.0,103.4
Purdue,B10,31.20,131.6,100.4,64.4,-0.006,6.31,15.88,118.3,102.5
Michigan State,B10,28.31,123.0,94.7,66.0,0.005,3.65,13.69,118.0,104.4
Gonzaga,WCC,28.10,122.0,93.9,68.6,0.072,8.31,5.89,113.0,107.1
UConn,BE,27.87,122.0,94.1,64.4,0.055,7.63,12.01,115.3,103.3
Vanderbilt,SEC,27.51,126.8,99.3,68.8,0.018,1.16,14.56,118.0,103.4
Virginia,ACC,26.71,122.5,95.8,65.7,0.056,-3.27,9.95,115.4,105.5
Nebraska,B10,26.16,118.5,92.4,66.7,0.034,-6.03,11.59,116.4,104.8
Arkansas,SEC,26.05,127.7,101.6,71.0,0.051,4.41,14.95,118.9,103.9
Tennessee,SEC,26.02,121.1,95.0,65.0,-0.060,0.75,14.77,119.0,104.3
St. John's,BE,25.91,120.1,94.2,69.6,0.061,6.61,11.52,115.1,103.6
Alabama,SEC,25.72,129.0,103.3,73.1,0.019,13.42,16.75,119.4,102.7
Louisville,ACC,25.42,124.1,98.6,69.6,-0.020,2.41,12.55,115.8,103.3
Texas Tech,B12,25.22,125.0,99.8,66.2,0.006,7.75,15.64,118.3,102.7
Kansas,B12,24.44,118.3,93.9,67.6,0.053,10.99,16.95,118.0,101.0
Wisconsin,B10,23.39,125.3,102.0,68.7,0.041,-1.10,13.93,117.2,103.3
BYU,B12,23.25,125.5,102.2,69.9,-0.017,4.88,14.27,116.3,102.0
Saint Mary's,WCC,23.07,120.3,97.2,65.2,0.011,3.90,4.99,111.5,106.5
