Rk	Team	Conf	W-L	NetRtg	ORtg	DRtg	AdjT	Luck	NetRtg	ORtg	DRtg	NetRtg
1	Duke 1	ACC	32-2	+38.90	128.0	4	89.1	2	65.3	287	+.049	63	+14.29	15	117.0	24	102.7	10	+10.07	18
2	Arizona 1	B12	32-2	+37.66	127.7	5	90.0	3	69.8	54	+.023	127	+14.97	9	117.6	15	102.7	7	+3.25	102
3	Michigan 1	B10	31-3	+37.59	126.6	8	89.0	1	70.9	22	+.045	70	+16.65	3	119.1	4	102.5	5	+12.49	11
4	Florida 1	SEC	26-7	+33.79	125.5	9	91.7	6	70.5	28	-.036	289	+16.01	5	119.4	3	103.4	26	+7.96	29
5	Houston 2	B12	28-6	+33.43	124.9	14	91.4	5	63.3	352	-.006	203	+13.58	24	116.9	25	103.3	24	+0.87	156
6	Iowa St. 2	B12	27-7	+32.42	123.8	21	91.4	4	66.5	225	-.012	219	+12.44	31	115.6	48	103.1	20	-3.57	280
7	Illinois 3	B10	24-8	+32.10	131.2	2	99.1	28	65.5	277	-.050	305	+13.64	23	117.0	22	103.4	28	+3.76	91
8	Purdue 2	B10	27-8	+31.20	131.6	1	100.4	36	64.4	324	-.006	198	+15.88	7	118.3	9	102.5	4	+6.31	50
9	Michigan St. 3	B10	25-7	+28.31	123.0	24	94.7	13	66.0	252	+.005	178	+13.69	21	118.0	11	104.4	55	+3.65	93
10	Gonzaga 3	WCC	30-3	+28.10	122.0	29	93.9	9	68.6	111	+.072	28	+5.89	87	113.0	82	107.1	98	+8.31	26
11	Connecticut 2	BE	29-5	+27.87	122.0	30	94.1	11	64.4	322	+.055	55	+12.01	36	115.3	53	103.3	23	+7.63	38
12	Vanderbilt 5	SEC	26-8	+27.51	126.8	7	99.3	31	68.8	98	+.018	133	+14.56	13	118.0	13	103.4	29	+1.16	148
13	Virginia 3	ACC	29-5	+26.71	122.5	27	95.8	16	65.7	271	+.056	52	+9.95	70	115.4	49	105.5	73	-3.27	273
14	Nebraska 4	B10	26-6	+26.16	118.5	55	92.4	7	66.7	218	+.034	98	+11.59	42	116.4	32	104.8	63	-6.03	319
15	Arkansas 4	SEC	26-8	+26.05	127.7	6	101.6	48	71.0	20	+.051	61	+14.95	10	118.9	7	103.9	38	+4.41	81
16	Tennessee 6	SEC	22-11	+26.02	121.1	37	95.0	15	65.0	307	-.060	321	+14.77	11	119.0	5	104.3	50	+0.75	160
17	St. John's 5	BE	28-6	+25.91	120.1	44	94.2	12	69.6	68	+.061	44	+11.52	43	115.1	59	103.6	31	+6.61	44
18	Alabama 4	SEC	23-9	+25.72	129.0	3	103.3	67	73.1	4	+.019	130	+16.75	2	119.4	1	102.7	9	+13.42	9
19	Louisville 6	ACC	23-10	+25.42	124.1	19	98.6	25	69.6	62	-.020	239	+12.55	30	115.8	40	103.3	25	+2.41	116
20	Texas Tech 5	B12	22-10	+25.22	125.0	12	99.8	33	66.2	243	+.006	175	+15.64	8	118.3	10	102.7	8	+7.75	33
21	Kansas 4	B12	23-10	+24.44	118.3	57	93.9	10	67.6	164	+.053	57	+16.95	1	118.0	12	101.0	1	+10.99	15
22	Wisconsin 5	B10	24-10	+23.39	125.3	11	102.0	51	68.7	104	+.041	82	+13.93	18	117.2	20	103.3	22	-1.10	219
23	BYU 6	B12	23-11	+23.25	125.5	10	102.2	57	69.9	46	-.017	232	+14.27	16	116.3	33	102.0	3	+4.88	74
24	Saint Mary's 7	WCC	27-5	+23.07	120.3	43	97.2	19	65.2	297	+.011	155	+4.99	93	111.5	96	106.5	92	+3.90	90
25	Iowa 9	B10	21-12	+22.44	121.7	31	99.3	30	63.0	357	-.061	328	+11.37	47	115.6	47	104.2	49	-7.17	336
26	Ohio St. 8	B10	21-12	+22.24	124.3	17	102.1	54	66.1	251	-.031	272	+13.67	22	116.6	28	103.0	15	-1.82	236
27	UCLA 7	B10	23-11	+21.67	123.7	22	102.1	53	64.6	318	+.017	136	+12.22	33	116.1	35	103.9	37	-2.17	249
28	Kentucky 7	SEC	21-13	+21.48	120.5	39	99.0	27	68.3	124	-.019	235	+15.92	6	119.0	6	103.1	19	+1.33	142
29	North Carolina 6	ACC	24-8	+20.84	121.4	32	100.5	37	67.9	143	+.057	49	+11.46	45	115.4	50	103.9	40	+1.33	141
30	Utah St. 9	MWC	28-6	+20.76	122.1	28	101.4	45	67.7	158	+.065	39	+7.13	80	112.8	83	105.7	76	+1.97	125
31	Miami FL 7	ACC	25-8	+20.68	121.4	33	100.7	38	67.6	169	+.021	129	+7.99	77	113.7	76	105.7	75	-7.33	340
32	Georgia 8	SEC	22-10	+20.48	124.7	16	104.2	80	71.4	16	-.005	196	+10.78	61	116.0	39	105.2	70	-6.45	326
33	Villanova 8	BE	24-8	+19.97	120.4	41	100.4	35	65.2	296	+.067	35	+10.37	67	114.7	65	104.3	54	+2.90	108
34	N.C. State 11	ACC	20-13	+19.60	124.1	20	104.5	86	69.1	86	-.029	261	+11.97	37	116.0	37	104.0	43	+4.10	85
35	Santa Clara 10	WCC	26-8	+19.40	123.6	23	104.2	82	69.2	82	+.015	142	+6.02	85	111.8	93	105.8	80	+3.91	89
36	Clemson 8	ACC	24-10	+19.24	116.5	71	97.3	20	64.2	333	+.011	156	+10.53	65	115.2	54	104.7	60	+0.64	167
37	Texas 11	SEC	18-14	+19.03	125.0	13	105.9	112	66.9	206	-.083	345	+13.70	20	117.4	18	103.7	33	-6.35	321
38	Auburn	SEC	17-16	+19.02	124.8	15	105.8	107	67.2	191	-.053	314	+16.65	4	119.4	2	102.8	12	+8.40	25
39	Texas A&M 10	SEC	21-11	+18.67	119.7	49	101.0	41	70.5	29	-.002	192	+11.15	52	117.0	23	105.8	82	-5.88	317
40	Oklahoma	SEC	19-15	+18.37	124.2	18	105.8	109	66.2	240	-.070	335	+13.30	25	117.3	19	104.0	42	-5.52	311
Strength of Schedule	NCSOS
Rk	Team	Conf	W-L	NetRtg	ORtg	DRtg	AdjT	Luck	NetRtg	ORtg	DRtg	NetRtg
41	Saint Louis 9	A10	28-5	+18.32	119.5	51	101.2	42	71.0	21	+.030	110	+1.03	130	108.9	173	107.8	122	-5.82	316
