Seed,Team,BlendedExpValue,M5,M6,M7,M10
1,Duke,$283.02,$242.26,$264.17,$277.89,$294.66
1,Michigan,$257.44,$193.64,$232.22,$237.51,$278.93
1,Arizona,$213.54,$185.31,$177.28,$235.39,$217.00
1,Florida,$128.32,$125.28,$106.68,$135.72,$129.97
2,Houston,$99.84,$102.71,$103.71,$102.74,$97.76
2,Iowa State,$87.43,$103.53,$82.99,$103.23,$80.21
2,Purdue,$80.65,$81.10,$66.02,$85.68,$81.34
3,Illinois,$75.43,$95.61,$62.93,$91.04,$68.94
2,UConn,$59.32,$59.84,$66.66,$55.82,$59.18
3,Gonzaga,$56.14,$57.71,$74.85,$50.02,$54.79
3,Michigan State,$49.72,$62.49,$48.67,$53.36,$46.55
3,Virginia,$40.02,$42.25,$59.32,$32.18,$39.05
5,Vanderbilt,$35.89,$36.99,$40.45,$36.06,$34.89
4,Arkansas,$35.23,$39.11,$42.71,$30.40,$34.95
4,Alabama,$32.09,$36.14,$35.66,$27.71,$32.29
4,Nebraska,$31.63,$34.66,$44.13,$29.14,$29.88
5,St. John's,$28.63,$28.80,$38.69,$25.97,$27.80
4,Kansas,$26.60,$29.78,$28.95,$23.63,$26.67
6,Tennessee,$26.43,$33.63,$20.54,$29.50,$25.19
5,Texas Tech,$25.09,$26.25,$25.81,$24.87,$24.85
6,Louisville,$22.26,$26.27,$21.69,$26.25,$20.35
5,Wisconsin,$21.24,$25.73,$22.35,$21.03,$20.37
6,BYU,$15.34,$19.54,$16.58,$14.48,$14.72
7,UCLA,$13.19,$16.19,$13.64,$14.69,$12.11
7,Saint Mary's,$12.63,$15.13,$16.06,$10.58,$12.33
6,North Carolina,$11.99,$11.50,$18.03,$9.17,$12.01
7,Miami (FL),$11.15,$15.16,$16.02,$11.79,$9.45
7,Kentucky,$10.60,$11.20,$10.02,$9.42,$10.99
9,Iowa,$9.10,$13.29,$9.21,$9.95,$8.11
8,Ohio State,$8.56,$10.01,$8.50,$10.16,$7.79
9,Utah State,$7.51,$9.28,$9.71,$6.88,$7.05
8,Georgia,$7.09,$10.12,$6.28,$7.24,$6.67
8,Villanova,$6.98,$8.59,$10.84,$5.27,$6.65
8,Clemson,$6.73,$6.23,$9.91,$4.58,$7.00
10,Santa Clara,$6.52,$8.32,$10.57,$4.95,$6.08
10,UCF,$5.69,$6.99,$8.51,$3.51,$5.72
11,Texas,$5.60,$8.99,$5.36,$5.42,$5.14
10,Texas A&M,$5.39,$5.46,$6.41,$4.39,$5.55
9,Saint Louis,$5.14,$6.49,$7.80,$5.12,$4.48
10,Missouri,$5.08,$6.56,$6.51,$3.73,$5.04
11,VCU,$5.02,$5.74,$6.56,$4.49,$4.82
9,TCU,$4.27,$5.85,$5.31,$3.52,$4.09
11,South Florida,$3.62,$4.81,$5.25,$2.95,$3.38
12,Akron,$2.25,$4.15,$3.77,$1.82,$1.82
12,McNeese,$2.12,$2.24,$3.49,$1.24,$2.16
11,Miami (OH),$1.53,$1.88,$3.73,$0.71,$1.38
12,High Point,$1.48,$2.68,$2.40,$1.00,$1.29
12,Northern Iowa,$1.33,$2.64,$1.14,$1.31,$1.16
13,Hofstra,$1.15,$2.03,$1.75,$0.91,$0.99
13,California Baptist,$0.85,$1.38,$2.02,$0.56,$0.67
13,Hawaii,$0.75,$1.49,$1.04,$0.54,$0.65
14,North Dakota State,$0.53,$0.89,$1.15,$0.34,$0.42
13,Troy,$0.50,$0.54,$0.61,$0.24,$0.57
14,Wright State,$0.41,$0.63,$0.66,$0.25,$0.38
14,Penn,$0.22,$0.44,$0.26,$0.13,$0.22
14,Kennesaw State,$0.22,$0.54,$0.25,$0.16,$0.18
15,Queens,$0.14,$0.28,$0.26,$0.07,$0.13
15,Furman,$0.13,$0.27,$0.23,$0.10,$0.11
15,Tennessee State,$0.10,$0.15,$0.30,$0.05,$0.07
15,Idaho,$0.09,$0.22,$0.23,$0.11,$0.04
16,UMBC,$0.02,$0.03,$0.08,$0.04,$0.00
16,LIU,$0.01,$0.01,$0.10,$0.02,$0.00
16,Prairie View A&M,$0.01,$0.01,$0.00,$0.02,$0.01
16,Siena,$0.01,$0.02,$0.06,$0.01,$0.00
