Model,Seed,Team,Round64,Round32,Sweet16,Elite8,Final4,TitleGame,AvgPts,ExpValue
model_5,12,Akron,21.8%,6.0%,0.6%,0.1%,0.0%,0.0%,75.3,$3.62
model_5,4,Alabama,84.5%,48.1%,13.3%,5.6%,2.0%,0.6%,79.9,$32.54
model_5,1,Arizona,99.7%,86.3%,68.8%,49.6%,29.6%,18.2%,75.4,$197.67
model_5,4,Arkansas,90.3%,56.1%,16.2%,7.3%,2.5%,0.8%,79.3,$38.65
model_5,6,BYU,60.2%,24.2%,9.3%,2.6%,0.7%,0.2%,77.6,$18.18
model_5,13,California Baptist,10.9%,1.5%,0.1%,0.0%,0.0%,0.0%,67.3,$1.39
model_5,8,Clemson,41.7%,7.2%,2.3%,0.5%,0.1%,0.0%,69.1,$7.08
model_5,1,Duke,99.6%,87.8%,72.5%,56.9%,36.6%,23.5%,71.3,$233.06
model_5,1,Florida,99.8%,79.3%,54.6%,30.6%,15.7%,7.4%,76.2,$119.48
model_5,15,Furman,2.6%,0.2%,0.0%,0.0%,0.0%,0.0%,65.8,$0.30
model_5,8,Georgia,55.6%,8.0%,3.3%,1.0%,0.2%,0.1%,78.8,$9.65
model_5,3,Gonzaga,96.2%,63.1%,31.1%,11.6%,4.4%,1.6%,77.1,$55.35
model_5,13,Hawaii,9.7%,1.8%,0.1%,0.0%,0.0%,0.0%,73.3,$1.34
model_5,12,High Point,17.4%,3.1%,0.2%,0.0%,0.0%,0.0%,75.9,$2.42
model_5,13,Hofstra,15.5%,3.4%,0.2%,0.0%,0.0%,0.0%,74.4,$2.30
model_5,2,Houston,98.1%,76.9%,46.2%,26.9%,13.9%,6.4%,72.2,$106.68
model_5,15,Idaho,1.9%,0.2%,0.0%,0.0%,0.0%,0.0%,65.7,$0.22
model_5,3,Illinois,97.4%,76.8%,40.5%,22.0%,10.5%,4.5%,75.7,$89.04
model_5,9,Iowa,58.3%,13.5%,5.5%,1.6%,0.4%,0.1%,70.2,$12.82
model_5,2,Iowa State,98.7%,76.6%,50.4%,23.5%,12.1%,5.2%,74.8,$99.15
model_5,4,Kansas,89.1%,46.2%,10.2%,4.6%,1.4%,0.4%,72.1,$29.12
model_5,14,Kennesaw State,3.8%,0.4%,0.0%,0.0%,0.0%,0.0%,71.6,$0.45
model_5,7,Kentucky,55.1%,13.6%,5.3%,1.2%,0.3%,0.1%,74.9,$11.94
model_5,16,LIU,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,67.3,$0.03
model_5,6,Louisville,71.9%,33.0%,16.5%,4.6%,1.6%,0.5%,76.3,$27.76
model_5,12,McNeese,17.0%,3.7%,0.4%,0.0%,0.0%,0.0%,71.6,$2.62
model_5,7,Miami (FL),63.5%,17.2%,6.6%,1.5%,0.3%,0.1%,74.5,$14.15
model_5,11,Miami (OH),12.7%,1.9%,0.2%,0.0%,0.0%,0.0%,71.5,$1.71
model_5,1,Michigan,99.5%,87.1%,69.4%,49.3%,32.0%,17.9%,76.1,$200.83
model_5,3,Michigan State,93.3%,58.8%,33.7%,11.5%,4.5%,1.7%,73.9,$55.76
model_5,10,Missouri,36.5%,6.7%,1.8%,0.2%,0.0%,0.0%,73.2,$5.86
model_5,4,Nebraska,94.6%,49.6%,18.3%,6.7%,2.2%,0.7%,73.3,$37.19
model_5,6,North Carolina,59.5%,15.2%,4.1%,1.1%,0.2%,0.1%,74.9,$11.88
model_5,14,North Dakota State,6.7%,0.8%,0.1%,0.0%,0.0%,0.0%,68.5,$0.86
model_5,12,Northern Iowa,17.2%,4.2%,0.3%,0.0%,0.0%,0.0%,67.1,$2.66
model_5,8,Ohio State,61.8%,9.0%,3.9%,1.5%,0.4%,0.1%,72.7,$11.50
model_5,14,Penn,2.6%,0.3%,0.0%,0.0%,0.0%,0.0%,69.5,$0.32
model_5,16,Prairie View A&M,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,68.2,$0.02
model_5,2,Purdue,97.6%,75.8%,47.6%,21.2%,9.4%,4.2%,77.1,$88.21
model_5,15,Queens,2.4%,0.3%,0.0%,0.0%,0.0%,0.0%,72.5,$0.30
model_5,9,Saint Louis,44.4%,4.8%,1.8%,0.4%,0.1%,0.0%,77.8,$6.54
model_5,7,Saint Mary's,61.0%,15.9%,5.7%,1.9%,0.5%,0.1%,72.3,$14.07
model_5,10,Santa Clara,44.9%,9.7%,3.3%,0.6%,0.2%,0.0%,75.3,$8.46
model_5,16,Siena,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,63.7,$0.04
model_5,11,South Florida,28.1%,7.3%,2.1%,0.3%,0.0%,0.0%,75.3,$5.34
model_5,5,St. John's,82.8%,48.1%,12.1%,5.9%,1.9%,0.6%,72.3,$31.93
model_5,9,TCU,38.2%,3.2%,1.1%,0.3%,0.1%,0.0%,71.4,$5.16
model_5,6,Tennessee,87.3%,44.6%,18.3%,5.9%,2.1%,0.6%,73.5,$34.57
model_5,15,Tennessee State,1.3%,0.1%,0.0%,0.0%,0.0%,0.0%,68.6,$0.15
model_5,11,Texas,39.8%,12.3%,3.5%,0.7%,0.1%,0.0%,76.5,$8.58
model_5,10,Texas A&M,39.0%,7.0%,1.9%,0.4%,0.1%,0.0%,72.9,$6.51
model_5,5,Texas Tech,78.2%,42.6%,11.4%,4.7%,1.5%,0.4%,77.4,$28.03
model_5,13,Troy,5.4%,0.5%,0.0%,0.0%,0.0%,0.0%,67.0,$0.63
